Linear Accelerations (g) x, y, z --- Angular Velocities (dps) rx, ry, rz
-0.052, 0.556, -0.805 --- -0.305, 0.0, -0.488
-0.053, 0.555, -0.807 --- -0.183, -0.549, -0.305
-0.055, 0.559, -0.805 --- -1.281, 0.122, -0.488
-0.054, 0.559, -0.805 --- -0.305, 0.122, -0.366
-0.055, 0.561, -0.803 --- -0.366, 0.061, -0.488
-0.054, 0.562, -0.802 --- -0.427, 0.122, -0.549
-0.054, 0.563, -0.802 --- -0.915, 0.122, -0.549
-0.054, 0.564, -0.801 --- 0.183, 0.061, -0.549
-0.054, 0.565, -0.8 --- -0.854, 0.122, -0.488
-0.054, 0.567, -0.798 --- -0.488, 0.122, -0.549
