Linear Accelerations (g) x, y, z --- Angular Velocities (dps) rx, ry, rz
0.181, 0.185, -0.947 --- 4.638, 2.868, 0.366
0.18, 0.177, -0.956 --- 8.972, 0.0, -2.319
0.176, 0.129, -0.972 --- 2.258, 0.366, -3.295
0.15, 0.179, -0.931 --- 91.674, -38.452, 42.785
-0.321, -1.154, -0.298 --- 129.638, 12.634, 249.938
-0.753, -1.2, 1.495 --- 106.445, 100.585, 148.803
-0.77, 0.046, 0.35 --- 3.54, -25.085, 21.606
-0.624, -0.669, 0.22 --- -13.549, 9.033, 33.935
-0.8, -0.639, 0.219 --- -0.976, 1.22, 11.718
-0.767, -0.566, 0.252 --- 7.873, 10.009, -5.432
