,,,,,,,
,,,,,,,
,,,,,,,
Silent Room (computer mic),,,,Confidence Matrices,,,
Apple,,,,,,Actual,grapple
,Attempt,Time,,,,Correct,Wrong
,1,4.62,,Predicted,Correct,10,2
,2,2.01,,,Wrong,0,7
,3,1.96,,,Illegible Count,0,1
Grape,,,,,,Actual,great
,Attempt,Time,,,,Correct,Wrong
,1,3.9,,Predicted,Correct,10,0
,2,1.6,,,Wrong,0,10
,3,1.8,,,Illegible Count,0,0
Dragonfruit,,,,,,Actual,fruit
,Attempt,Time,,,,Correct,Wrong
,1,5.1,,Predicted,Correct,10,0
,2,1.2,,,Wrong,0,10
,3,1.2,,,Illegible Count,0,0
Banana,,,,,,Actual,nanana
,Attempt,Time,,,,Correct,Wrong
,1,4.55,,Predicted,Correct,10,0
,2,2,,,Wrong,0,9
,3,2.1,,,Illegible Count,0,1
Pear,,,,,,Actual,dare
,Attempt,Time,,,,Correct,Wrong
,1,3.7,,Predicted,Correct,1,3
,2,2.1,,,Wrong,6,3
,3,2.43,,,Illegible Count,3,4
Berry,,,,,,Actual,very
,Attempt,Time,,,,Correct,Wrong
,1,3.9,,Predicted,Correct,0,2
,2,1.99,,,Wrong,3,2
,3,2.13,,,Illegible Count,7,6
,,,,,,,
,,,,,,,
Silent Room (headphones),,,,,,,
Apple,,,,,,Actual,grapple
,Attempt,Time,,,,Correct,Wrong
,1,4.5,,Predicted,Correct,10,1
,2,1.3,,,Wrong,0,9
,3,1.55,,,Illegible Count,0,0
Grape,,,,,,Actual,great
,Attempt,Time,,,,Correct,Wrong
,1,4.21,,Predicted,Correct,10,0
,2,1.67,,,Wrong,0,10
,3,1.89,,,Illegible Count,0,0
Dragonfruit,,,,,,Actual,fruit
,Attempt,Time,,,,Correct,Wrong
,1,3.99,,Predicted,Correct,10,0
,2,1.72,,,Wrong,0,10
,3,2.81,,,Illegible Count,0,0
Banana,,,,,,Actual,nanana
,Attempt,Time,,,,Correct,Wrong
,1,4.72,,Predicted,Correct,10,0
,2,1.44,,,Wrong,0,10
,3,1.65,,,Illegible Count,0,0
Pear,,,,,,Actual,dare
,Attempt,Time,,,,Correct,Wrong
,1,4.51,,Predicted,Correct,0,3
,2,1.23,,,Wrong,1,2
,3,1.67,,,Illegible Count,9,5
Berry,,,,,,Actual,very
,Attempt,Time,,,,Correct,Wrong
,1,4.56,,Predicted,Correct,0,5
,2,1.79,,,Wrong,5,2
,3,1.92,,,Illegible Count,5,3
,,,,,,,
,,,,,,,
"
chattering background (headphones)",,,,,,,
Apple,,,,,,Actual,grapple
,Attempt,Time,,,,Correct,Wrong
,1,3.13,,Predicted,Correct,8,0
,2,1.81,,,Wrong,0,5
,3,2.56,,,Illegible Count,2,5
Grape,,,,,,Actual,great
,Attempt,Time,,,,Correct,Wrong
,1,3.98,,Predicted,Correct,5,0
,2,2.45,,,Wrong,2,6
,3,2.78,,,Illegible Count,3,4
Dragonfruit,,,,,,Actual,fruit
,Attempt,Time,,,,Correct,Wrong
,1,3.84,,Predicted,Correct,7,0
,2,2.11,,,Wrong,1,9
,3,2.86,,,Illegible Count,2,1
Banana,,,,,,Actual,nanana
,Attempt,Time,,,,Correct,Wrong
,1,4.67,,Predicted,Correct,5,2
,2,1.55,,,Wrong,2,6
,3,2.64,,,Illegible Count,3,2
Pear,,,,,,Actual,dare
,Attempt,Time,,,,Correct,Wrong
,1,4.73,,Predicted,Correct,0,0
,2,2.33,,,Wrong,2,1
,3,2.17,,,Illegible Count,8,9
Berry,,,,,,Actual,very
,Attempt,Time,,,,Correct,Wrong
,1,4.12,,Predicted,Correct,0,1
,2,2.5,,,Wrong,4,3
,3,2.67,,,Illegible Count,6,6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
conclusion: use the first 4 fruits for speech detection and add a delay for speech recognition for the first attempt,,,,,,,
